Iterative/Total,Municode,Registered Voters,Times Counted,"Biden  Joseph R. Jr. / Harris  Kamala D.""""","Blankenship  Don / Mohr  William""""","De La Fuente  Rocque ""Rocky"" / Richardson  Darcy G.""""","Janos  James G. ""Jesse Ventura"" / McKinney  Cynthia""""","Jorgensen  Jo / Cohen  Jeremy ""Spike""""""","Pierce  Brock / Ballard  Karla""""","Trump  Donald J. / Pence  Michael R.""""",WriteIn,Total,PCT Trump,PCT Biden,PCT Jorgensen,PCT Blankenship,PCT Ventura,PCTPierce,PCTDeLaFuente,PCTWI,WinCode,R-D,16R-D,Swing,2PR-D,2P16R-D,2PSwing
Ketchikan Gateway,Ketchikan,12012,3811,2881.60796005937,18.6604671190311,5.53992875121408,51.289641610403,218.385349361329,12.2419023258821,4098.01396483527,32.3916924887811,7318.13090655128,0.55998095923191,0.393762833277513,0.0298416839149226,0.00254989523381251,0.00700857121379011,0.00167281816657899,0.000757014164129623,0.00442622479734322,0.55998095923191,0.166218125954396,0.224807193894339,-0.0585890679399428,0.174279641199085,0.260340665088824,-0.086061023889739
Prince of Wales-Hyder,Prince of Wales-Hyder,5247,1927,1364.52181319624,15.3253227115362,2.03477232601919,45.8014209015161,24.9669457285148,7.09155144291575,1592.55032318404,6.24009518814929,3058.53224467894,0.52069103602052,0.446136154219123,0.00816304806723906,0.00501067881111875,0.0149749674803,0.00231861261402532,0.000665277382495861,0.00204022540517775,0.52069103602052,0.0745548818013966,0.124768122625713,-0.0502132408243163,0.0771129345078897,0.149106926064889,-0.0719939915569995
Sitka,Sitka,7600,1608,2805.01092965446,4.39592879029075,2,34.5465792996765,108.010614040661,6.11444458093901,1938.95786562771,23.7115132880636,4922.7478752818,0.393877142350442,0.569805929679852,0.0219411224740974,0.0008929827205581,0.00701774297098221,0.00124207957341081,0.000406277154684773,0.00481672307597233,2.56980592967985,-0.17592878732941,-0.0823214267827033,-0.0936073605467068,-0.182558760691689,-0.0930385076154447,-0.0895202530762442
Petersburg,Petersburg,2961,707,748.582330354278,14.5906765969674,0,16.9763724079081,36.8130794181073,3.26653723993332,1158.59073245779,16.6979948028582,1995.51772327784,0.580596563459574,0.375131887640996,0.0184478839694985,0.00731172488561051,0.00850725213305684,0.00163693722277129,0,0.00836775068849305,0.580596563459574,0.205464675818579,0.193168688739189,0.01229598707939,0.214982274077931,0.222308309035503,-0.00732603495757245
Wrangell,Wrangell,1974,732,431.68850415491,6.91431270234978,1.42529892276673,15.8085608089035,17.5270610173819,5.54316770499756,810.93626447093,5.47998704407501,1295.32315682631,0.626049384045456,0.33326703215327,0.0135310334915383,0.00533790557662122,0.0122043373698624,0.0042793704997747,0.00110034234720151,0.00423059451627623,0.626049384045456,0.292782351892187,0.419662353474976,-0.12688000158279,0.305198938481978,0.461338972750136,-0.156140034268158
Hoonah-Angoon,Hoonah-Angoon,1990,742,939.439231672971,6.87618437509052,3,14.3925500541228,19.7806621625562,2.92773998672099,409.688995172518,6.08503082149654,1402.19039424548,0.292177864613723,0.669979794133796,0.0141069730927662,0.00490388780532948,0.0102643336548226,0.00208797606853983,0.00213950973584747,0.00433966089517459,2.6699797941338,-0.377801929520073,-0.192931961092548,-0.184869968427525,-0.392661146627335,-0.228350041062921,-0.164311105564413
Juneau,JNU,28029,4206,11397.1886598061,45.5355311604634,10.3000942304405,130.756372035667,432.895400664085,53.1390865161243,6591.48244512094,110.511896565107,18771.8094860989,0.351137297126424,0.607143848772067,0.0230609308593642,0.00242574010748319,0.00696557101394491,0.00283079191462471,0.000548700126009058,0.00588712008008307,2.60714384877207,-0.256006551645643,-0.18817906892349,-0.0678274827221527,-0.267151819423108,-0.214745384285377,-0.0524064351377305
Chugach,CG,5847,1680,1580.98375185718,11.4902931711139,1.51552691935359,38.2763824738129,125.068010889449,7.43414978678807,1882.22811373634,16.0533658852415,3663.04959471927,0.513841831803151,0.431603152230413,0.034143138839766,0.00313681070212058,0.0104493213875654,0.00202949744319741,0.000413733661028889,0.0043825139327582,0.513841831803151,0.0822386795727375,0.209814489203471,-0.127575809630733,0.0869840984526478,0.249194185848747,-0.162210087396099
Copper River,CR,2807,871,512.227892070626,5,3,17,40.9252710297904,6.56796033727566,1170.22469678233,10.6521505267355,1765.59797074676,0.662792275575275,0.29011581376817,0.0231792694077922,0.00283190175954113,0.00962846598243985,0.00371996368714546,0.00169914105572468,0.00603316876391184,0.662792275575275,0.372676461807104,0.403742621944116,-0.0310661601370121,0.39109381689044,0.46197076515153,-0.0708769482610903
Haines,Haines,2422,766,957.122457712005,11.1047300482888,0,13.0475667001298,19.2232517978978,2.96685723346045,699.603436774415,8.74017955924705,1711.80847982544,0.408692587412439,0.5591294055335,0.0112297911971192,0.00648713344931039,0.0076220949095078,0.00173317124457929,0,0.00510581625354392,2.5591294055335,-0.150436818121061,-0.0117031202531587,-0.138733697867902,-0.155438519911237,-0.0137720068302609,-0.141666513080976
